SiteNumber,Type,LocationID,EffectiveDate,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCSZ,OwnerPhone,Manager,ManagerAddress,ManagerCSZ,ManagerPhone,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS,ARPMethod,ARPElevation,ARPElevationMethod,MagneticVariation,MagneticVariationYear,TrafficPatternAltitude,ChartName,DistanceFromCBD,DirectionFromCBD,LandAreaCoveredByAirport,BoundaryARTCCID,BoundaryARTCCComputerID,BoundaryARTCCName,ResponsibleARTCCID,ResponsibleARTCCComputerID,ResponsibleARTCCName,TieInFSS,TieInFSSID,TieInFSSName,AirportToFSSPhoneNumber,TieInFSSTollFreeNumber,AlternateFSSID,AlternateFSSName,AlternateFSSTollFreeNumber,NOTAMFacilityID,NOTAMService,ActiviationDate,AirportStatusCode,CertificationTypeDate,FederalAgreements,AirspaceDetermination,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights,InspectionMethod,InspectionGroup,LastInspectionDate,LastOwnerInformationDate,FuelTypes,AirframeRepair,PowerPlantRepair,BottledOxygenType,BulkOxygenType,LightingSchedule,BeaconSchedule,ATCT,UNICOMFrequencies,CTAFFrequency,SegmentedCircle,BeaconColor,NonCommercialLandingFee,MedicalUse,SingleEngineGA,MultiEngineGA,JetEngineGA,HelicoptersGA,GlidersOperational,MilitaryOperational,Ultralights,OperationsCommercial,OperationsCommuter,OperationsAirTaxi,OperationsGALocal,OperationsGAItin,OperationsMilitary,OperationsDate,AirportPositionSource,AirportPositionSourceDate,AirportElevationSource,AirportElevationSourceDate,ContractFuelAvailable,TransientStorage,OtherServices,WindIndicator
50410.*A,AIRPORT,ENA,5/31/12,AAL,NONE,AK,ALASKA,KENAI-COOK INLET,AK,KENAI,KENAI MUNI,PU,PU,CITY OF KENAI,210 FIDALGO ST,"KENAI, AK 99611",    907-283-7951,MARY BONDURANT,305 N WILLOW SUITE 200,"KENAI, AK 99611",    907-283-7951,60-34-23.9044N,218063.9044N,151-14-41.2000W,544481.2000W,E,99,S,19E,2010,,ANCHORAGE,0,N,1200,ZAN,ZAN,ANCHORAGE,,,,Y,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ENA,Y,5/1/47,O,I A S 03/2005,NGPY,NO OBJECTION,N,N,N,Y,F,F,12052011,,100LLA,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,Y,,121.3,Y,CG,N,,54,7,,,,,,1045,,23263,6326,6429,3115,12/1/11,REGION,00:00.0,REGION,00:00.0,,TIE,"CARGO,CHTR,INSTR,RNTL",Y-L
50412.03*A,AIRPORT,KTN,5/31/12,AAL,NONE,AK,ALASKA,KETCHIKAN GATEWAY,AK,KETCHIKAN,KETCHIKAN INTL,PU,PU,STATE OF AK DOTPF SE RGN,6860 GLACIER HIGHWAY,"JUNEAU, AK 99801-7999",    907-465-1786,MIKE CARNEY,1000 ARPT TERMINAL WAY,"KETCHIKAN, AK 99901",    907-225-6800,55-21-14.6700N,199274.6700N,131-42-40.3900W,474160.3900W,E,89,E,21E,2010,,KETCHIKAN,1,W,2600,ZAN,ZAN,ANCHORAGE,,,,Y,KTN,KETCHIKAN,907-225-9481,LC225-9481,JNU,JUNEAU,1-800-WX-BRIEF,KTN,Y,4/1/73,O,I B S 03/2005,NGY,NO OBJECTION,N,Y,N,Y,F,F,3302012,,100LLA,,,,,SEE RMK,SEE RMK,N,122.95,123.6,Y,CG,Y,,3,1,1,0,,,,5290,,9789,350,395,135,1/1/11,REGION,00:00.0,FAA-EST,00:00.0,,"HGR,TIE","BCHGR,CARGO",Y-L
50416.*A,AIRPORT,AKN,5/31/12,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,KING SALMON,KING SALMON,PU,PU,STATE OF AK DOTPF-CENTRAL RGN,POUCH 196900,"ANCHORAGE, AK 99519-6900",    907-269-0751,JAY KNIGHT,PO BOX 65,"KING SALMON, AK 99613",    907-246-3325,58-40-35.3765N,211235.3765N,156-38-55.2876W,563935.2876W,E,73,S,16E,2010,,KODIAK,0,SE,5277,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,AKN,Y,8/1/54,O,I A S 03/2005,NGY,NO OBJECTION,N,N,Y,Y,F,F,8122011,,100LLA    B,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,Y,,121.9,Y,CG,,,33,6,,3,,,,750,,16200,4000,30000,350,8/12/11,FAA-EST,00:00.0,NGS,00:00.0,,TIE,CARGO,Y-L
50425.*A,AIRPORT,ADQ,5/31/12,AAL,NONE,AK,ALASKA,KODIAK ISLAND,AK,KODIAK,KODIAK,PU,PU,STATE OF AK DOTPF-CENTRAL RGN,P O BOX 196900,"ANCHORAGE, AK 99519-6900",    907-269-0767,BOB GREENE,1500 ANTON LARSON RD,"KODIAK, AK 99615",    907-487-4952,57-44-59.8840N,207899.8840N,152-29-37.8790W,548977.8790W,E,78,S,18E,2005,,KODIAK,4,SW,,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ADQ,Y,4/1/48,O,I A S 04/2005,NGY,NO OBJECTION,N,N,N,Y,F,F,8262011,,100LLA1,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,Y,122.8,119.8,Y,CG,N,,25,8,,8,,14,,2300,,20880,950,850,15969,1/1/11,NGS,00:00.0,REGION,00:00.0,,,"AFRT,CARGO,CHTR",Y-L
50429.*A,AIRPORT,OTZ,5/31/12,AAL,NONE,AK,ALASKA,KOBUK,AK,KOTZEBUE,RALPH WIEN MEMORIAL,PU,PU,ST OF AK DOTPF-N REG,2301 PEGER RD,"FAIRBANKS, AK 99701",    907-451-5250,CALVIN SCHAEFFER,BOX 55,"KOTZEBUE, AK 99752",    907-442-3147,66-53-04.9000N,240784.9000N,162-35-54.6000W,585354.6000W,E,14,S,15E,2010,,NOME,1,S,1480,ZAN,ZAN,ANCHORAGE,,,,Y,OTZ,KOTZEBUE,907-442-3310,1-800-478-7460,FAI,FAIRBANKS,1-866-248-6516,OTZ,Y,9/1/47,O,I B S 04/2005,NGSY,CONDITIONAL,N,N,N,Y,F,F,4222011,,100  A,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,122.8,123.6,Y,CG,N,,40,12,,,,,,2000,,20000,7000,30000,1000,1/1/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,CARGO,Y-L
50540.*A,AIRPORT,OME,5/31/12,AAL,NONE,AK,ALASKA,NOME,AK,NOME,NOME,PU,PU,ST OF AK DOTPF NORTH REG,2301 PEGER RD,"FAIRBANKS, AK 99709",    907-443-2500,ROBERT MADDEN,BOX 1048,"NOME, AK 99762",    907-443-2500,64-30-43.9280N,232243.9280N,165-26-42.8850W,595602.8850W,E,37,S,14E,2005,1100,NOME,2,W,,ZAN,ZAN,ANCHORAGE,,,,Y,OME,NOME,LC 443-2291,1-800-478-8400,FAI,FAIRBANKS,1-866-248-6516,OME,Y,,O,I B S 04/2005,NGPY,NO OBJECTION,N,Y,N,Y,F,F,11042010,,100LLA    A1+,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,,123.6,Y,CG,N,,51,12,,5,,3,,1500,,15000,5000,5000,1500,1/1/10,NGS,,NGS,00:00.0,,HGR,CARGO,Y
50590.2*A,AIRPORT,PSG,5/31/12,AAL,NONE,AK,ALASKA,WRANGELL-PETERSBURG,AK,PETERSBURG,PETERSBURG JAMES A JOHNSON,PU,PU,ST OF AK DOTPF SE REG,6860 GLACIER HWY,"JUNEAU, AK 99801-7999",    907-465-1779,TED SOKOL,P.O. BOX 1108,"PETERSBURG, AK 99811",    907-772-4624,56-48-05.3000N,204485.3000N,132-56-46.4000W,478606.4000W,E,113,S,21E,2010,,JUNEAU,1,SE,,ZAN,ZAN,ANCHORAGE,,,,N,SIT,SITKA,907-966-2221,1-800-478-6300,JNU,JUNEAU,1-800-WX-BRIEF,PSG,Y,1/1/64,O,I B S 03/2005,NGY,NO OBJECTION,N,N,N,Y,F,F,2102012,,100  A,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,,122.5,Y,CG,,,15,0,,3,,,,1392,,10000,1600,400,100,12/31/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,CARGO,Y-L
50620.2*A,AIRPORT,PPC,5/31/12,AAL,NONE,AK,ALASKA,UPPER YUKON,AK,PROSPECT CREEK,PROSPECT CREEK,PU,PU,STATE OF AK DOTPF,2301 PEGER RD,"FAIRBANKS, AK 99701",    907-451-2207,CASEY AHKVALUK,"P.O. BOX 196660, MS 530B, MILTON CROSS","ANCHORAGE, AK 99512",    907-787-8964,66-48-50.6000N,240530.6000N,150-38-37.0000W,542317.0000W,E,1095,S,21E,2010,,FAIRBANKS,3,NE,,ZAN,ZAN,ANCHORAGE,,,,N,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,PPC,Y,6/1/71,O,IV A U 07/2008,N,NO OBJECTION,N,N,N,Y,F,F,7192011,3301983,,,,NONE,,SEE RMK,SEE RMK,N,,122.9,Y,CG,N,,0,0,0,0,,,,26,,252,20,200,,7/1/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,,,Y-L
50703.*A,AIRPORT,SIT,5/31/12,AAL,NONE,AK,ALASKA,SITKA,AK,SITKA,SITKA ROCKY GUTIERREZ,PU,PU,STATE OF ALASKA DOTPF,6860 GLACIER HIGHWAY,"JUNEAU, AK 99801-7999",    907-465-1786,DAVE LUCHINETTI,605 AIRPORT RD,"SITKA, AK 99835",    907-966-2960,57-02-49.7000N,205369.7000N,135-21-41.7000W,487301.7000W,E,26,S,23E,2005,,JUNEAU,0,W,,ZAN,ZAN,ANCHORAGE,,,,Y,SIT,SITKA,907-966-2221,1-800-478-6300,JNU,JUNEAU,1-800-WX-BRIEF,SIT,Y,12/1/69,O,I B S 03/2005,NGPY,NO OBJECTION,N,Y,N,Y,F,F,4282011,,100  A1+,MAJOR,MAJOR,NONE,NONE,,SEE RMK,N,122.95,123.6,Y,CG,N,,21,2,,,,3,4,1800,,10000,3000,7000,1300,1/2/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,CARGO,Y-L
50801.*A,AIRPORT,DUT,5/31/12,AAL,NONE,AK,ALASKA,ALEUTIAN ISLANDS,AK,UNALASKA,UNALASKA,PU,PU,STATE OF AK DOTPF-CENTRAL RGN,PO BOX 196900,"ANCHORAGE, AK 99519",    907-269-0749,STEVE BERNINGER,920525,"DUTCH HARBOR, AK 99692",    907-581-1786,53-53-56.2000N,194036.2000N,166-32-42.1000W,599562.1000W,E,22,S,14E,1985,2078,DUTCH HARBOR,1,N,,ZAN,ZAN,ANCHORAGE,,,,N,CDB,COLD BAY,907-532-2466,1-800-478-7250,ENA,KENAI,1-866-864-1737,DUT,Y,1/1/50,O,I A S 05/2005,NGY,NOT ANALYZED,N,N,N,Y,F,F,2222012,,100LLA,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,122.6,Y,CG,N,,,3,,,,,1,2500,,100,,50,50,2/22/12,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,CARGO,Y-L
50825.1*A,AIRPORT,VDZ,5/31/12,AAL,NONE,AK,ALASKA,VALDEZ-CHITNA-WHITIE,AK,VALDEZ,VALDEZ PIONEER FIELD,PU,PU,ST OF AK DOTPF NOR REG,2301 PEGER ROAD,"FAIRBANKS, AK 99709",    907-451-5217,STEVE SEARLES,BOX 507,"VALDEZ, AK 99686",    907-835-5658,61-08-03.1750N,220083.1750N,146-14-41.1430W,526481.1430W,E,121,S,19E,2015,,ANCHORAGE,3,E,836,ZAN,ZAN,ANCHORAGE,,,,N,JNU,JUNEAU,907-789-7380,1-800-WX-BRIEF,,,,VDZ,Y,10/1/52,O,I A S 04/2005,NGY,NO OBJECTION,N,Y,N,Y,F,F,3222012,,,MINOR,MINOR,NONE,NONE,SEE RMK,SEE RMK,N,,122.9,Y,CG,N,,25,1,,7,,,2,,,3800,2500,2500,500,12/30/11,STATE,00:00.0,FAA,00:00.0,,,CARGO,Y-L
50905.2*A,AIRPORT,WRG,5/31/12,AAL,NONE,AK,ALASKA,WRANGELL-PETERSBURG,AK,WRANGELL,WRANGELL,PU,PU,ST OF AK DOT/SE REGION,6860 GLACIER HWY,"JUNEAU, AK 99801-7999",    907-465-1786,WILLIAM BLOOM,BOX 1351,"WRANGELL, AK 99929",    907-874-3107,56-29-03.6000N,203343.6000N,132-22-11.4000W,476531.4000W,E,49,S,24E,2000,,JUNEAU,1,NE,,ZAN,ZAN,ANCHORAGE,,,,N,SIT,SITKA,907-966-2221,1-800-478-6300,JNU,JUNEAU,1-800-WX-BRIEF,WRG,Y,,O,I B S 03/2005,NGY,NO OBJECTION,Y,N,N,Y,F,F,1132012,,100LLA,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,,122.6,Y,CG,,,10,,,1,,,,725,,6200,1000,2500,,1/13/12,NGS,00:00.0,NGS,00:00.0,,HGR,CARGO,Y-L
